,catla,hilsa,indian_mackerel,mrigal,pomfret,rohu,tilapia
catla,5,1,0,2,0,2,1
hilsa,1,7,1,0,1,1,0
indian_mackerel,0,3,6,1,0,0,1
mrigal,1,2,0,1,0,7,0
pomfret,0,0,0,0,10,0,0
rohu,1,1,0,2,0,6,2
tilapia,0,0,0,0,0,2,9
