,catla,hilsa,indian_mackerel,mrigal,pomfret,rohu,tilapia
catla,7,0,1,2,0,1,0
hilsa,1,9,1,0,0,0,0
indian_mackerel,1,2,8,0,0,0,0
mrigal,0,2,0,7,0,1,1
pomfret,0,2,0,0,8,0,0
rohu,1,0,0,5,0,5,1
tilapia,0,0,0,2,0,0,9
