,catla,hilsa,indian_mackerel,mrigal,pomfret,rohu,tilapia
catla,7,0,0,1,0,2,1
hilsa,2,6,2,0,0,1,0
indian_mackerel,0,4,7,0,0,0,0
mrigal,3,0,0,0,0,8,0
pomfret,1,1,0,0,8,0,0
rohu,0,0,0,1,1,9,1
tilapia,0,0,0,2,0,1,8
