,catla,hilsa,indian_mackerel,mrigal,pomfret,rohu,tilapia
catla,6,0,1,1,0,2,1
hilsa,1,7,3,0,0,0,0
indian_mackerel,0,3,8,0,0,0,0
mrigal,1,2,0,5,0,3,0
pomfret,0,0,0,0,10,0,0
rohu,0,0,0,2,1,8,1
tilapia,0,0,0,1,0,2,8
